img_id,stem_word,slope
41,animal,-0.165187518
41,brown,-0.166993288
41,bull,0.000902885
41,cow,0.999251071
41,farm,0.499174093
41,fence,0.33488946
41,field,-0.166993288
41,grass,0.498271208
41,green,-0.33308369
41,horse,-0.335792345
41,mud,0.000902885
41,outside,-0.167896173
41,pasture,0.498271208
41,ranch,-0.166993288
41,sunny,-0.333986575
41,water,-2.92E-16
50,apple,0.163573881
50,bag,0.013403411
50,crowd,0.012582606
50,fruit,0.490721644
50,man,0.060450618
50,market,-0.667698936
50,orange,0.011761802
50,people,0.05115123
50,person,-0.111601847
50,shop,0.643354528
50,store,0.150170471
50,woman,-0.264234732
56,"-, new, york",-0.011830202
56,build,0.251378524
56,building,0.238727517
56,city,-0.202416106
56,concrete,-0.15181208
56,crowd,0.138340269
56,daytime,0.277501341
56,flat,-0.012651007
56,people,-0.328105368
56,river,-0.163642282
56,sand,-0.011830202
56,sea,0.264850335
56,sky,0.125689262
56,skyline,-0.164463086
56,skyscraper,0.138340269
56,street,-0.011830202
56,tree,0.416662414
56,water,0.368520801
63,africa,0.164284633
63,animal,-0.500979863
63,baby,0.166993288
63,cute,0.167896173
63,dirt,0.166090403
63,family,0.33308369
63,gray,0.000902885
63,grey,-0.166993288
63,hippo,0.834063553
63,hippopotamus,0.167896173
63,love,-0.165187518
63,nature,0.167896173
63,outdoor,-0.166993288
63,pair,-0.166993288
63,rhino,-0.333986575
63,rhinoceros,-0.166993288
63,river,-2.92E-16
63,sky,-0.166993288
63,two,-0.00180577
63,water,0.664361611
69,art,0.33308369
69,city,0.33308369
69,couple,0.33488946
69,daytime,-0.166993288
69,group,-0.166993288
69,love,0.499174093
69,man,-0.166993288
69,park,0.000902885
69,pedestrian,0.000902885
69,people,-0.169701942
69,pose,0.000902885
69,sculpture,-2.92E-16
69,statue,0.66616738
69,street,-0.166090403
69,sunny,0.166090403
69,walk,-5.83E-16
69,woman,-2.92E-16
84,beach,-0.165187518
84,beautiful,0.33308369
